,season,team,player
583,2010,Royal Challengers Bangalore,MK Pandey
584,2018,Mumbai Indians,BCJ Cutting
585,2019,Chennai Super Kings,AT Rayudu
586,2017,Kolkata Knight Riders,IR Jaggi
587,2011,Kochi Tuskers Kerala,P Parameswaran
588,2014,Sunrisers Hyderabad,AJ Finch
589,2008,Rajasthan Royals,MM Patel
590,2013,Kings XI Punjab,R Sathish
591,2016,Sunrisers Hyderabad,DJ Hooda
592,2017,Rising Pune Supergiant,MK Tiwary
593,2012,Pune Warriors,RV Uthappa
594,2010,Rajasthan Royals,M Morkel
595,2009,Rajasthan Royals,MM Patel
596,2010,Delhi Daredevils,DA Warner
597,2009,Royal Challengers Bangalore,R Dravid
598,2015,Rajasthan Royals,SPD Smith
599,2016,Royal Challengers Bangalore,CH Gayle
600,2011,Rajasthan Royals,AL Menaria
601,2011,Delhi Daredevils,Y Venugopal Rao
602,2009,Rajasthan Royals,M Morkel
603,2016,Royal Challengers Bangalore,S Aravind
604,2018,Delhi Daredevils,CH Morris
605,2014,Kolkata Knight Riders,MS Bisla
606,2017,Kolkata Knight Riders,SP Narine
